OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Свойство;Значение
0;RM;2025-05-18 18:38:27.000;;Nikon Lite AS 1.60 Pure Blue UV;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;1.56 E56 AS PGC;Индекс преломления;1,56
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  B;Degr;1,5
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  A;Degr;0,8
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  B;Degr;1,5
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 SHV (Stock+);Исключения METS;Нет
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 HVA (Stock+);Исключения METS;Нет
0;RM;2025-05-18 18:38:27.000;;Miyosmart 1.59;Исключения METS;Нет
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 PhotoDark;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 PhotoDark;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;Hilux TrueForm 1.60 Sensity Dark;Исключения METS;Да
