OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Пакет;Свойство;Значение;ЦветМП
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV Dark Basic Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV Dark Basic ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.50;PerfectVision Smart UV Basic Skylight Digital;Покрытия KEFF WL;HMCSB;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60 Photo;PerfectVision Smart Sunactive UV Slim Skylight;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60 Photo;PerfectVision Smart Sunactive UV Slim Skylight;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60 Photo;PerfectVision Smart Sunactive UV Slim Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV Slim Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV Slim ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV GradDark Slim Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV GradDark Slim ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV Dark Slim Skylight;Покрытия KEFF WL;HMCP;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV Dark Slim ISee;Покрытия KEFF WL;HMC;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus11 1.60;PerfectVision Smart UV Slim Skylight Digital;Покрытия KEFF WL;HMCSB;
0;RM;2025-05-18 18:38:31.000;;WLProgPlus14 1.50 Photo;PerfectVision Smart Sunactive UV Basic ISee;Цвет ОЛ;WL_Brown_HPL_STB;Коричневый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus14 1.50 Photo;PerfectVision Smart Sunactive UV Basic ISee;Цвет ОЛ;WL_Grey_HPL_STG;Серый
0;RM;2025-05-18 18:38:31.000;;WLProgPlus14 1.50 Photo;PerfectVision Smart Sunactive UV Basic ISee;Покрытия KEFF WL;HMC;
